Generation,AverageNeurons,MedianNeurons,MinNeurons,MaxNeurons,AverageConnections,MedianConnections,MinConnections,MaxConnections,CreatureCount
26,18.8,19.0,18,19,74.8,74.5,74,76,4
27,18.8,19.0,18,20,75.2,76.0,70,78,8
28,18.1,18.0,18,19,75.6,76.5,67,79,10
29,18.1,18.0,18,19,73.1,74.0,67,80,7
30,18.3,18.0,18,19,72.3,69.0,67,81,3
31,18.3,18.0,18,19,71.3,69.0,67,78,3
32,18.0,18.0,18,18,78.0,78.0,78,78,1
33,18.0,18.0,18,18,81.0,81.0,81,81,1
34,18.0,18.0,18,18,77.2,77.0,73,82,4
35,19.0,19.0,18,20,75.7,75.0,73,79,3
37,21.0,21.0,21,21,83.0,83.0,83,83,1
38,21.0,21.0,20,22,83.0,83.0,81,85,3
39,21.3,22.0,20,22,83.7,85.0,81,85,3
52,26.0,26.0,26,26,98.7,99.0,98,99,3
53,26.2,26.0,26,27,99.3,99.5,97,101,6
54,26.0,26.0,25,27,100.7,100.5,99,102,6
55,24.8,26.0,20,27,100.1,99.0,97,104,8
56,22.4,21.0,20,27,99.7,99.0,97,104,9
57,22.8,22.5,19,28,95.5,98.0,76,105,6
58,23.3,24.0,21,25,97.7,98.0,90,102,9
59,23.4,23.0,21,26,95.6,100.0,79,104,8
60,23.6,23.5,22,26,91.5,94.0,77,106,14
61,23.9,24.0,22,27,91.2,94.5,76,105,18
62,24.1,24.0,22,26,92.2,95.0,79,101,9
63,22.7,24.0,19,26,88.4,90.0,74,102,7
64,21.4,19.0,19,25,84.8,78.0,73,103,5
65,18.7,19.0,18,19,74.0,72.0,70,80,3
